product_name,date,quantity_sold
Apples,2022-08-12,13932
Apples,2022-08-17,29072
Apples,2022-08-18,7067
Apples,2022-08-21,2897
Apples,2022-08-23,20577
Apples,2022-09-01,1972
Apples,2022-09-01,6436
Apples,2022-09-06,28953
Apples,2022-09-07,4305
Apples,2022-09-13,38189
Apples,2022-09-15,11747
Apples,2022-09-17,34001
Apples,2022-09-17,31828
Apples,2022-09-22,9286
Apples,2022-09-24,13054
Apples,2022-09-27,31159
Apples,2022-09-28,4760
Apples,2022-10-01,8742
Apples,2022-10-03,25497
Apples,2022-10-13,3043
Apples,2022-10-19,2871
Apples,2022-10-23,2861
Apples,2022-10-28,12945
Apples,2022-10-29,906
Apples,2022-10-30,2807
Apples,2022-11-01,5807
Apples,2022-11-07,13824
Apples,2022-11-08,741
Apples,2022-11-10,26059
Apples,2022-11-17,1567
Apples,2022-11-19,24385
Apples,2022-11-20,3695
Apples,2022-11-22,10139
Apples,2022-11-26,31708
Apples,2022-12-03,39793
Apples,2022-12-09,13281
Apples,2022-12-10,7942
Apples,2022-12-11,35503
Apples,2022-12-13,5980
Apples,2022-12-16,39065
Apples,2022-12-19,20013
Apples,2022-12-25,4584
Apples,2022-12-26,25670
Apples,2022-12-31,30092
Apples,2023-01-01,14154
Apples,2023-01-01,1244
Apples,2023-01-17,2526
Apples,2023-01-18,5396
Apples,2023-01-21,33079
Apples,2023-01-24,7485
Apples,2023-01-24,897
Apples,2023-01-26,1143
Apples,2023-02-01,2715
Apples,2023-02-03,7116
Apples,2023-02-03,4400
Apples,2023-02-04,7247
Apples,2023-02-05,2521
Apples,2023-02-05,15711
Apples,2023-02-14,11582
Apples,2023-02-20,5287
Apples,2023-02-20,8791
Apples,2023-02-22,977
Apples,2023-02-22,3634
Apples,2023-02-25,7529
Apples,2023-02-25,3196
Apples,2023-02-27,20478
Apples,2023-02-28,983
Apples,2023-03-04,19978
Apples,2023-03-11,3724
Apples,2023-03-14,2905
Apples,2023-03-16,2603
Apples,2023-03-19,5521
Apples,2023-03-22,3629
Apples,2023-03-23,8231
Apples,2023-03-25,28776
Apples,2023-03-25,5037
Apples,2023-03-25,584
Apples,2023-04-02,2667
Apples,2023-04-05,2131
Apples,2023-04-06,8893
Apples,2023-04-06,17212
Apples,2023-04-09,8905
Apples,2023-04-10,12730
Apples,2023-04-14,434
Apples,2023-04-20,6571
Apples,2023-04-21,19625
Apples,2023-04-23,2021
Apples,2023-04-28,19890
Apples,2023-05-02,2085
Apples,2023-05-05,2114
Apples,2023-05-05,16370
Apples,2023-05-08,11957
Apples,2023-05-11,7620
Apples,2023-05-17,14329
Apples,2023-05-18,9053
Apples,2023-05-21,7927
Apples,2023-05-22,4960
Apples,2023-05-23,9313
Apples,2023-05-30,10884
Apples,2023-06-03,10595
Apples,2023-06-03,17248
Apples,2023-06-09,8394
Apples,2023-06-11,6399
Apples,2023-06-13,7369
Apples,2023-06-14,10866
Apples,2023-06-17,2275
Apples,2023-06-21,9994
Apples,2023-06-24,12579
Apples,2023-06-27,31657
Apples,2023-06-27,8800
Apples,2023-07-05,13466
Apples,2023-07-08,7159
Apples,2023-07-10,18412
Apples,2023-07-11,29793
Apples,2023-07-14,9484
Apples,2023-07-15,8688
Apples,2023-07-16,2394
Apples,2023-07-19,1696
Apples,2023-07-21,1346
Apples,2023-07-22,24187
Apples,2023-07-22,333
Apples,2023-07-22,26261
Apples,2023-07-26,13858
Apples,2023-07-31,2890
Apples,2023-08-01,240
Apples,2023-08-03,21983
Apples,2023-08-04,27264
Apples,2023-08-11,14381
Apples,2023-08-11,15745
Apples,2023-08-15,23328
Apples,2023-08-16,16968
Apples,2023-08-19,10125
Apples,2023-08-22,660
Apples,2023-08-23,21246
Apples,2023-08-24,1330
Apples,2023-08-25,14210
Apples,2023-08-27,978
Apples,2023-08-28,34931
Apples,2023-08-28,2975
Apples,2023-08-28,4726
Apples,2023-08-29,14585
Apples,2023-09-04,4625
Apples,2023-09-04,14494
Apples,2023-09-05,27781
Apples,2023-09-06,14030
Apples,2023-09-15,1878
Apples,2023-09-20,8533
Apples,2023-09-23,25977
Apples,2023-09-24,7561
Apples,2023-09-28,20036
Apples,2023-09-28,7012
Apples,2023-09-30,248
Apples,2023-10-02,21318
Apples,2023-10-06,11812
Apples,2023-10-08,33026
Apples,2023-10-10,33188
Apples,2023-10-16,3455
Apples,2023-10-16,9751
Apples,2023-10-19,14210
Apples,2023-10-21,2494
Apples,2023-10-21,12303
Apples,2023-10-24,2990
Apples,2023-10-26,3881
Apples,2023-10-27,6815
Apples,2023-10-29,12958
Apples,2023-10-31,35588
Apples,2023-11-02,26323
Apples,2023-11-03,21896
Apples,2023-11-12,17718
Apples,2023-11-14,5144
Apples,2023-11-15,7899
Apples,2023-11-19,1625
Apples,2023-11-22,16023
Apples,2023-11-22,2446
Apples,2023-11-23,1329
Apples,2023-11-24,3137
Apples,2023-11-26,2093
Apples,2023-11-30,7974
Apples,2023-11-30,6998
Apples,2023-11-30,9654
Apples,2023-12-01,3991
Apples,2023-12-06,46752
Apples,2023-12-11,15380
Apples,2023-12-13,1629
Apples,2023-12-16,9646
Apples,2023-12-17,15809
Apples,2023-12-17,30039
Apples,2023-12-19,19892
Apples,2023-12-24,29915
Apples,2023-12-24,28097
Bananas,2022-01-03,7493
Bananas,2022-01-05,10798
Bananas,2022-01-09,1835
Bananas,2022-01-10,29584
Bananas,2022-01-12,1451
Bananas,2022-01-13,30693
Bananas,2022-01-14,28894
Bananas,2022-01-18,10955
Bananas,2022-01-21,28640
Bananas,2022-01-22,6372
Bananas,2022-01-26,12940
Bananas,2022-01-30,873
Bananas,2022-02-06,3659
Bananas,2022-02-11,26367
Bananas,2022-02-12,4732
Bananas,2022-02-13,28676
Bananas,2022-02-13,769
Bananas,2022-02-16,2240
Bananas,2022-02-17,2534
Bananas,2022-02-17,15350
Bananas,2022-02-19,7809
Bananas,2022-02-20,2918
Bananas,2022-02-20,13641
Bananas,2022-02-24,3657
Bananas,2022-02-26,6189
Bananas,2022-02-28,8903
Bananas,2022-02-28,4734
Bananas,2022-03-01,11556
Bananas,2022-03-01,5263
Bananas,2022-03-01,33816
Bananas,2022-03-03,20979
Bananas,2022-03-04,25733
Bananas,2022-03-05,8340
Bananas,2022-03-12,31007
Bananas,2022-03-12,377
Bananas,2022-03-14,7682
Bananas,2022-03-15,25262
Bananas,2022-03-18,15100
Bananas,2022-03-23,4835
Bananas,2022-03-23,7613
Bananas,2022-03-30,11575
Bananas,2022-03-31,6082
Bananas,2022-04-01,28114
Bananas,2022-04-01,6181
Bananas,2022-04-05,28468
Bananas,2022-04-05,24991
Bananas,2022-04-09,18339
Bananas,2022-04-11,7335
Bananas,2022-04-17,9131
Bananas,2022-04-22,795
Bananas,2022-04-26,12209
Bananas,2022-05-02,17027
Bananas,2022-05-08,43431
Bananas,2022-05-15,12695
Bananas,2022-05-15,16874
Bananas,2022-05-15,350
Bananas,2022-05-18,22170
Bananas,2022-05-20,39940
Bananas,2022-05-29,7377
Bananas,2022-05-31,9742
Bananas,2022-05-31,21924
Bananas,2022-06-05,29542
Bananas,2022-06-06,10337
Bananas,2022-06-10,21951
Bananas,2022-06-10,18283
Bananas,2022-06-15,9165
Bananas,2022-06-16,7634
Bananas,2022-06-16,26469
Bananas,2022-06-26,1008
Bananas,2022-06-27,6896
Bananas,2022-06-28,1018
Bananas,2022-07-02,16002
Bananas,2022-07-08,22147
Bananas,2022-07-17,21523
Bananas,2022-07-20,36355
Bananas,2022-07-22,4343
Bananas,2022-07-22,22088
Bananas,2022-07-22,3787
Bananas,2022-07-24,481
Bananas,2022-07-24,21940
Bananas,2022-07-25,12098
Bananas,2022-08-04,1614
Bananas,2022-08-23,9922
Bananas,2022-08-29,26766
Bananas,2022-08-31,6237
Bananas,2022-09-09,5875
Bananas,2022-09-16,22314
Bananas,2022-09-22,3712
Bananas,2022-09-23,13359
Bananas,2022-09-26,1429
Bananas,2022-09-26,42187
Bananas,2022-10-01,5929
Bananas,2022-10-02,5594
Bananas,2022-10-02,1203
Bananas,2022-10-04,26381
Bananas,2022-10-17,20525
Bananas,2022-10-23,6773
Bananas,2022-10-24,13759
Bananas,2022-10-29,1152
Bananas,2022-10-29,4785
Bananas,2022-10-31,3331
Bananas,2022-11-01,3816
Bananas,2022-11-01,6168
Bananas,2022-11-02,1992
Bananas,2022-11-06,16174
Bananas,2022-11-07,32627
Bananas,2022-11-08,360
Bananas,2022-11-09,2431
Bananas,2022-11-09,290
Bananas,2022-11-14,10506
Bananas,2022-11-17,15746
Bananas,2022-11-20,2950
Bananas,2022-11-21,8111
Bananas,2022-11-23,3974
Bananas,2022-11-28,2456
Bananas,2022-11-29,27154
Bananas,2022-12-01,18696
Bananas,2022-12-03,856
Bananas,2022-12-06,17576
Bananas,2022-12-08,13448
Bananas,2022-12-13,10785
Bananas,2022-12-15,2072
Bananas,2022-12-16,10957
Bananas,2022-12-16,7877
Bananas,2022-12-16,8812
Bananas,2022-12-17,36038
Bananas,2022-12-18,25149
Bananas,2022-12-19,1653
Bananas,2022-12-20,416
Bananas,2022-12-22,7529
Bananas,2022-12-28,6089
Bananas,2022-12-29,27995
Bananas,2023-01-20,22728
Bananas,2023-01-25,5343
Bananas,2023-01-29,1348
Bananas,2023-02-01,3740
Bananas,2023-02-03,19382
Bananas,2023-02-06,2907
Bananas,2023-02-16,2403
Bananas,2023-02-17,18566
Bananas,2023-02-20,316
Bananas,2023-02-25,11675
Bananas,2023-02-27,98
Bananas,2023-02-27,10330
Bananas,2023-03-01,17180
Bananas,2023-03-04,16992
Bananas,2023-03-06,29144
Bananas,2023-03-07,2960
Bananas,2023-03-12,11742
Bananas,2023-03-13,13635
Bananas,2023-03-15,2170
Bananas,2023-03-15,5409
Bananas,2023-03-17,12272
Bananas,2023-03-20,12679
Bananas,2023-03-20,13039
Bananas,2023-03-21,25955
Bananas,2023-03-22,1860
Bananas,2023-03-28,403
Bananas,2023-03-29,9096
Bananas,2023-03-31,39948
Bananas,2023-03-31,4993
Bananas,2023-04-11,17176
Bananas,2023-04-16,703
Bananas,2023-04-18,21733
Bananas,2023-05-01,1280
Bananas,2023-05-01,28951
Bananas,2023-05-03,1984
Bananas,2023-05-05,13796
Bananas,2023-05-06,32515
Bananas,2023-05-14,13505
Bananas,2023-05-17,393
Bananas,2023-05-17,382
Bananas,2023-05-19,14562
Bananas,2023-05-20,2141
Bananas,2023-05-21,10250
Bananas,2023-05-22,31064
Bananas,2023-05-24,43242
Bananas,2023-05-28,176
Bananas,2023-05-28,34521
Bananas,2023-06-04,13859
Bananas,2023-06-16,9165
Bananas,2023-06-19,16457
Bananas,2023-06-20,47020
Bananas,2023-06-20,724
Bananas,2023-06-21,25555
Bananas,2023-06-24,2217
Bananas,2023-06-26,18624
Bananas,2023-06-29,7248
Bananas,2023-07-01,16754
Bananas,2023-07-02,14958
Bananas,2023-07-10,10666
Bananas,2023-07-13,9082
Bananas,2023-07-16,6736
Bananas,2023-07-20,964
Bananas,2023-07-22,8115
Bananas,2023-07-22,4523
Bananas,2023-07-22,37883
Bananas,2023-07-28,30441
Bananas,2023-07-29,8531
Bananas,2023-07-30,5915
Bananas,2023-08-03,12862
Bananas,2023-08-04,671
Bananas,2023-08-06,17848
Bananas,2023-08-07,12954
Bananas,2023-08-07,27715
Bananas,2023-08-08,14186
Bananas,2023-08-08,5999
Bananas,2023-08-12,10581
Bananas,2023-08-13,28307
Bananas,2023-08-16,24351
Bananas,2023-08-20,5108
Bananas,2023-08-20,2188
Bananas,2023-08-30,4714
Bananas,2023-09-01,14410
Bananas,2023-09-08,15693
Bananas,2023-09-14,15891
Bananas,2023-09-29,9423
Bananas,2023-10-09,1422
Bananas,2023-10-11,25765
Bananas,2023-10-12,5725
Bananas,2023-10-17,11362
Bananas,2023-10-20,15246
Bananas,2023-10-21,28835
Bananas,2023-10-27,6017
Bananas,2023-10-27,16062
Bananas,2023-10-30,16471
Bananas,2023-11-03,18395
Bananas,2023-11-04,7014
Bananas,2023-11-04,1192
Bananas,2023-11-20,438
Bananas,2023-11-28,4541
Bananas,2023-12-04,14817
Bananas,2023-12-05,6814
Bananas,2023-12-06,1212
Bananas,2023-12-09,7685
Bananas,2023-12-12,2325
Bananas,2023-12-14,144
Bananas,2023-12-16,15194
Bananas,2023-12-18,6708
Bananas,2023-12-21,6028
Bananas,2023-12-21,15195
Bananas,2023-12-22,28204
Bananas,2023-12-23,6809
Bananas,2023-12-25,11396
Barley,2022-01-02,33408
Barley,2022-01-05,6590
Barley,2022-01-06,13726
Barley,2022-01-09,22831
Barley,2022-01-12,4822
Barley,2022-01-14,37567
Barley,2022-01-18,5775
Barley,2022-01-20,5400
Barley,2022-01-22,10163
Barley,2022-01-23,4833
Barley,2022-01-25,41048
Barley,2022-01-27,37614
Barley,2022-01-29,26406
Barley,2022-01-30,12078
Barley,2022-02-06,12351
Barley,2022-02-07,11363
Barley,2022-02-08,7615
Barley,2022-02-20,25315
Barley,2022-02-20,17671
Barley,2022-02-21,18448
Barley,2022-02-23,398
Barley,2022-03-01,2081
Barley,2022-03-03,28824
Barley,2022-03-04,15405
Barley,2022-03-06,2846
Barley,2022-03-07,4593
Barley,2022-03-07,21144
Barley,2022-03-12,2906
Barley,2022-03-15,4272
Barley,2022-03-15,16157
Barley,2022-03-18,15450
Barley,2022-03-19,11022
Barley,2022-03-21,10569
Barley,2022-03-21,3407
Barley,2022-03-26,1599
Barley,2022-03-27,15758
Barley,2022-03-28,875
Barley,2022-03-30,743
Barley,2022-04-04,5393
Barley,2022-04-05,12679
Barley,2022-04-05,20055
Barley,2022-04-05,6298
Barley,2022-04-10,11343
Barley,2022-04-14,3207
Barley,2022-04-17,17702
Barley,2022-04-19,20044
Barley,2022-04-21,11129
Barley,2022-05-02,7741
Barley,2022-05-06,8208
Barley,2022-05-08,20127
Barley,2022-05-09,9300
Barley,2022-05-10,9281
Barley,2022-05-10,6403
Barley,2022-05-13,25088
Barley,2022-05-14,22843
Barley,2022-05-17,12485
Barley,2022-05-17,26666
Barley,2022-05-19,2103
Barley,2022-05-20,3037
Barley,2022-05-21,3140
Barley,2022-05-21,1292
Barley,2022-05-23,245
Barley,2022-05-30,430
Barley,2022-06-01,5543
Barley,2022-06-04,20730
Barley,2022-06-13,11341
Barley,2022-06-16,11810
Barley,2022-06-19,35477
Barley,2022-06-20,21532
Barley,2022-06-20,15234
Barley,2022-06-21,16056
Barley,2022-07-01,1811
Barley,2022-07-01,32767
Barley,2022-07-06,5545
Barley,2022-07-08,4854
Barley,2022-07-10,16039
Barley,2022-07-11,24129
Barley,2022-07-11,2442
Barley,2022-07-18,5330
Barley,2022-07-18,22072
Barley,2022-07-19,1714
Barley,2022-07-21,5531
Barley,2022-07-24,2860
Barley,2022-07-30,942
Barley,2022-08-01,11495
Barley,2022-08-01,20895
Barley,2022-08-04,22687
Barley,2022-08-04,22478
Barley,2022-08-06,3975
Barley,2022-08-11,1816
Barley,2022-08-15,3959
Barley,2022-08-17,27148
Barley,2022-08-17,1394
Barley,2022-08-19,3630
Barley,2022-08-20,2946
Barley,2022-08-22,7827
Barley,2022-08-23,7739
Barley,2022-08-26,26293
Barley,2022-08-30,12681
Barley,2022-09-16,5522
Barley,2022-09-16,14973
Barley,2022-09-17,23408
Barley,2022-09-20,9329
Barley,2022-09-21,29543
Barley,2022-09-23,2245
Barley,2022-09-24,2827
Barley,2022-09-30,15574
Barley,2022-10-03,18785
Barley,2022-10-03,6966
Barley,2022-10-05,20389
Barley,2022-10-06,5656
Barley,2022-10-06,13192
Barley,2022-10-07,2418
Barley,2022-10-08,9736
Barley,2022-10-14,9987
Barley,2022-10-16,292
Barley,2022-10-20,4354
Barley,2022-10-25,27705
Barley,2022-10-25,12498
Barley,2022-10-26,2508
Barley,2022-10-26,18068
Barley,2022-10-29,10774
Barley,2022-11-03,40182
Barley,2022-11-03,11485
Barley,2022-11-03,6352
Barley,2022-11-06,1790
Barley,2022-11-08,3525
Barley,2022-11-09,14906
Barley,2022-11-10,7932
Barley,2022-11-13,25011
Barley,2022-11-19,445
Barley,2022-11-20,49726
Barley,2022-11-21,9617
Barley,2022-11-24,5948
Barley,2022-11-27,966
Barley,2022-12-05,27422
Barley,2022-12-06,1804
Barley,2022-12-07,826
Barley,2022-12-09,395
Barley,2022-12-10,1012
Barley,2022-12-10,22113
Barley,2022-12-12,10788
Barley,2022-12-13,17782
Barley,2022-12-13,8347
Barley,2022-12-13,6103
Barley,2022-12-17,7297
Barley,2022-12-18,6916
Barley,2022-12-21,31912
Barley,2022-12-22,12561
Barley,2022-12-22,1015
Barley,2022-12-23,10407
Barley,2022-12-28,13358
Barley,2022-12-29,2948
Barley,2022-12-30,36256
Barley,2022-12-31,4313
Barley,2022-12-31,1456
Barley,2023-01-02,608
Barley,2023-01-03,18307
Barley,2023-01-07,39866
Barley,2023-01-13,16579
Barley,2023-01-16,8410
Barley,2023-01-24,1429
Barley,2023-01-24,11103
Barley,2023-01-24,29283
Barley,2023-02-05,14043
Barley,2023-02-07,1623
Barley,2023-02-09,1587
Barley,2023-02-11,1681
Barley,2023-02-15,1090
Barley,2023-02-16,19467
Barley,2023-02-20,332
Barley,2023-02-23,862
Barley,2023-02-27,18828
Barley,2023-03-11,19962
Barley,2023-03-13,21111
Barley,2023-03-13,5750
Barley,2023-03-14,9353
Barley,2023-03-17,21157
Barley,2023-03-19,1937
Barley,2023-03-23,9365
Barley,2023-03-24,17997
Barley,2023-03-25,15380
Barley,2023-04-02,7423
Barley,2023-04-02,24269
Barley,2023-04-07,16297
Barley,2023-04-08,27863
Barley,2023-04-17,5082
Barley,2023-04-21,384
Barley,2023-04-23,24074
Barley,2023-05-01,22437
Barley,2023-05-02,19363
Barley,2023-05-09,7849
Barley,2023-05-11,20229
Barley,2023-05-16,4010
Barley,2023-05-27,31263
Barley,2023-05-28,23301
Barley,2023-05-28,3227
Barley,2023-05-31,35260
Barley,2023-06-08,18100
Barley,2023-06-11,5281
Barley,2023-06-11,16370
Barley,2023-06-13,12658
Barley,2023-06-16,17697
Barley,2023-06-20,8407
Barley,2023-06-20,18529
Barley,2023-06-20,30092
Barley,2023-07-02,1148
Barley,2023-07-04,1987
Barley,2023-07-06,22911
Barley,2023-07-08,242
Barley,2023-07-15,9154
Barley,2023-07-19,12323
Barley,2023-07-20,15522
Barley,2023-07-21,947
Barley,2023-07-24,15091
Barley,2023-07-24,21026
Barley,2023-07-26,8821
Barley,2023-07-28,789
Barley,2023-07-28,2753
Barley,2023-08-01,22863
Barley,2023-08-04,9360
Barley,2023-08-04,3576
Barley,2023-08-06,15012
Barley,2023-08-08,2687
Barley,2023-08-08,535
Barley,2023-08-09,3808
Barley,2023-08-09,21130
Barley,2023-08-11,19579
Barley,2023-08-12,20257
Barley,2023-08-14,9681
Barley,2023-08-18,14603
Barley,2023-08-18,2591
Barley,2023-08-20,11923
Barley,2023-08-20,9036
Barley,2023-08-23,18975
Barley,2023-08-23,14864
Barley,2023-08-25,26639
Barley,2023-09-03,24122
Barley,2023-09-03,9026
Barley,2023-09-05,19230
Barley,2023-09-16,23877
Barley,2023-09-17,32981
Barley,2023-09-17,3187
Barley,2023-09-20,206
Barley,2023-09-23,5203
Barley,2023-09-26,25876
Barley,2023-09-29,390
Barley,2023-10-01,57
Barley,2023-10-03,2684
Barley,2023-10-07,36238
Barley,2023-10-10,25402
Barley,2023-10-12,3306
Barley,2023-10-14,12614
Barley,2023-10-15,19341
Barley,2023-10-18,5688
Barley,2023-10-20,10476
Barley,2023-10-23,999
Barley,2023-10-26,12286
Barley,2023-10-29,24913
Barley,2023-11-01,5721
Barley,2023-11-02,15418
Barley,2023-11-19,8105
Barley,2023-12-02,18164
Barley,2023-12-03,38822
Barley,2023-12-06,193
Barley,2023-12-09,1023
Barley,2023-12-10,6496
Barley,2023-12-12,19586
Barley,2023-12-12,3576
Barley,2023-12-12,14006
Barley,2023-12-14,4044
Barley,2023-12-16,20225
Barley,2023-12-20,11346
Barley,2023-12-25,565
Barley,2023-12-26,43733
Barley,2023-12-27,1987
Beef,2022-01-01,7366
Beef,2022-01-03,44649
Beef,2022-01-05,7019
Beef,2022-01-06,10839
Beef,2022-01-07,13621
Beef,2022-01-08,12225
Beef,2022-01-09,19089
Beef,2022-01-11,880
Beef,2022-01-13,2670
Beef,2022-01-13,498
Beef,2022-01-15,14510
Beef,2022-01-16,8189
Beef,2022-01-16,22855
Beef,2022-01-17,2960
Beef,2022-01-17,27300
Beef,2022-01-20,1451
Beef,2022-01-21,2609
Beef,2022-01-23,32799
Beef,2022-01-23,6487
Beef,2022-01-24,9619
Beef,2022-01-25,4857
Beef,2022-01-29,11930
Beef,2022-01-30,3305
Beef,2022-01-31,20701
Beef,2022-02-03,796
Beef,2022-02-05,16548
Beef,2022-02-05,1817
Beef,2022-02-06,41216
Beef,2022-02-08,23462
Beef,2022-02-08,4992
Beef,2022-02-10,476
Beef,2022-02-11,18030
Beef,2022-02-12,16433
Beef,2022-02-17,7019
Beef,2022-02-18,16621
Beef,2022-02-19,7779
Beef,2022-02-19,7740
Beef,2022-02-21,20211
Beef,2022-02-23,29463
Beef,2022-02-23,47949
Beef,2022-02-25,37024
Beef,2022-03-01,6034
Beef,2022-03-01,5320
Beef,2022-03-05,1138
Beef,2022-03-05,8189
Beef,2022-03-07,27842
Beef,2022-03-07,1120
Beef,2022-03-08,39671
Beef,2022-03-10,185
Beef,2022-03-11,14838
Beef,2022-03-11,5797
Beef,2022-03-12,17149
Beef,2022-03-13,3219
Beef,2022-03-13,21065
Beef,2022-03-19,21878
Beef,2022-03-19,920
Beef,2022-03-23,3826
Beef,2022-03-26,11157
Beef,2022-03-27,13499
Beef,2022-03-28,28717
Beef,2022-03-30,33411
Beef,2022-04-02,2975
Beef,2022-04-02,15810
Beef,2022-04-04,17224
Beef,2022-04-05,17474
Beef,2022-04-08,3012
Beef,2022-04-08,11418
Beef,2022-04-08,15040
Beef,2022-04-09,4916
Beef,2022-04-09,43502
Beef,2022-04-13,11262
Beef,2022-04-15,2415
Beef,2022-04-15,2776
Beef,2022-04-18,24855
Beef,2022-04-20,29488
Beef,2022-04-21,18245
Beef,2022-04-22,13382
Beef,2022-04-22,39202
Beef,2022-04-26,6493
Beef,2022-04-26,31913
Beef,2022-04-27,5679
Beef,2022-04-30,28739
Beef,2022-05-01,2691
Beef,2022-05-05,28273
Beef,2022-05-06,21671
Beef,2022-05-07,29506
Beef,2022-05-08,17679
Beef,2022-05-10,14596
Beef,2022-05-14,25478
Beef,2022-05-15,7834
Beef,2022-05-16,30846
Beef,2022-05-16,9384
Beef,2022-05-17,7527
Beef,2022-05-19,29143
Beef,2022-05-22,2981
Beef,2022-05-23,2392
Beef,2022-05-25,6566
Beef,2022-05-26,12759
Beef,2022-05-26,42397
Beef,2022-05-26,22625
Beef,2022-05-26,31436
Beef,2022-05-27,7042
Beef,2022-05-28,22707
Beef,2022-05-29,9268
Beef,2022-06-03,14264
Beef,2022-06-03,9410
Beef,2022-06-04,40600
Beef,2022-06-05,354
Beef,2022-06-08,1544
Beef,2022-06-09,6556
Beef,2022-06-09,1892
Beef,2022-06-10,20317
Beef,2022-06-12,18568
Beef,2022-06-12,3149
Beef,2022-06-13,8176
Beef,2022-06-13,7543
Beef,2022-06-14,15307
Beef,2022-06-20,4169
Beef,2022-06-21,13839
Beef,2022-06-21,24568
Beef,2022-06-22,12429
Beef,2022-06-25,2319
Beef,2022-06-25,3410
Beef,2022-06-30,38504
Beef,2022-07-01,13937
Beef,2022-07-02,5135
Beef,2022-07-02,27656
Beef,2022-07-05,782
Beef,2022-07-08,12547
Beef,2022-07-09,10967
Beef,2022-07-10,45824
Beef,2022-07-10,267
Beef,2022-07-13,37597
Beef,2022-07-16,24975
Beef,2022-07-20,42208
Beef,2022-07-20,1454
Beef,2022-07-25,5734
Beef,2022-07-27,16407
Beef,2022-07-28,38262
Beef,2022-07-31,2811
Beef,2022-08-01,38830
Beef,2022-08-02,21628
Beef,2022-08-04,2974
Beef,2022-08-08,19992
Beef,2022-08-10,2993
Beef,2022-08-18,18279
Beef,2022-08-19,3624
Beef,2022-08-20,18383
Beef,2022-08-20,20793
Beef,2022-08-22,5124
Beef,2022-08-22,15492
Beef,2022-08-23,267
Beef,2022-08-23,14075
Beef,2022-08-24,5236
Beef,2022-08-25,3639
Beef,2022-08-26,23553
Beef,2022-08-30,1853
Beef,2022-09-03,12605
Beef,2022-09-03,4907
Beef,2022-09-05,8407
Beef,2022-09-05,9928
Beef,2022-09-11,5770
Beef,2022-09-12,23920
Beef,2022-09-13,2479
Beef,2022-09-17,6064
Beef,2022-09-17,20865
Beef,2022-09-19,1799
Beef,2022-09-20,1123
Beef,2022-09-20,37246
Beef,2022-09-22,41138
Beef,2022-09-24,8580
Beef,2022-09-26,3953
Beef,2022-09-28,44572
Beef,2022-10-01,7314
Beef,2022-10-01,2532
Beef,2022-10-06,28003
Beef,2022-10-07,9118
Beef,2022-10-14,33959
Beef,2022-10-14,1613
Beef,2022-10-15,6456
Beef,2022-10-16,1965
Beef,2022-10-19,33269
Beef,2022-10-19,20728
Beef,2022-10-20,3702
Beef,2022-10-20,12214
Beef,2022-10-22,4701
Beef,2022-10-25,489
Beef,2022-10-27,3116
Beef,2022-10-27,18793
Beef,2022-10-30,4898
Beef,2022-10-30,24135
Beef,2022-10-31,8881
Beef,2022-11-02,136
Beef,2022-11-06,8637
Beef,2022-11-08,4986
Beef,2022-11-10,19443
Beef,2022-11-11,10915
Beef,2022-11-14,18244
